"model","name","slug","status","type","category","description","price_msrp","price_currency","highlight_1_name","highlight_1_description","highlight_2_name","highlight_2_description","highlight_3_name","highlight_3_description","highlight_4_name","highlight_4_description","spec_keyboard","spec_sound_engine","spec_piano_sounds","spec_total_sounds","spec_polyphony","spec_speaker_system","spec_display","spec_connectivity","spec_recorder","spec_virtual_technician","spec_pedals","spec_finishes","spec_weight","spec_dimensions","spec_warranty","finishes"
"ES920","Kawai ES920","es920","active","Portable Digital Piano","Digital Pianos","Powerful, compact, and amazingly lightweight, the ES920 is perfectly suited for home, studio, stage, or school. Combining the class-leading Responsive Hammer III keyboard action with Harmonic Imaging XL technology, the ES920 delivers the outstanding touch and tone of a concert grand piano.","3099","USD","Touch & Action","• Responsive Hammer III keyboard action with redesigned key switches\n• Ivory Touch key surfaces and Let-off simulation\n• Enhanced Touch Curve setting with 10 selectable touch presets","Sound & Tone","• Shigeru Kawai SK-EX, SK-5, and Kawai EX grand piano sounds via Harmonic Imaging XL\n• Improved acoustic piano sounds and updated Virtual Technician parameters\n• Motherboard developed in partnership with Onkyo for improved tonal clarity\n• 40W stereo speaker system with premium audio processing","Connectivity & Features","• Bluetooth MIDI and Audio with aptX support\n• USB to Device and USB to Host connectivity, MIDI I/O, Line In/Out\n• Updated control panel with 4-band EQ faders and OLED graphic display\n• Compatible with PianoRemote control app for iOS/Android","Design & Build","• Stylish rounded case design, lightweight 37.5 lbs\n• Compatible with HM-5 designer stand and F-302 triple pedal bar (optional)","88 keys, Responsive Hammer III (RHIII) with Ivory Touch key surfaces, Let-off simulation","Harmonic Imaging XL","SK-EX, SK-5, and Kawai EX concert grand pianos (88-key sampling)","38 voices","256 notes max","40W stereo (20W x 2), developed with Onkyo","OLED graphic display","Bluetooth MIDI & Audio (aptX), USB to Device, USB to Host, MIDI In/Out, Line In/Out, 2x Headphone jacks","10-Song, 2-Track internal recorder; USB audio recording (WAV/MP3)","Yes, with adjustable string/damper resonance, hammer/damper/key release noises","F-10H damper pedal included; F-302 triple pedal bar & GFP-3 triple pedal (optional)","Satin Black, Snow White","37.5 lbs (17 kg)","","5 Years Parts and Labor","Satin Black|Snow White"
"ES120","Kawai ES120","es120","active","Portable Digital Piano","Digital Pianos","The ES120 offers the touch and tone of a fine acoustic piano in a contemporary, affordable portable digital piano package. Featuring the improved Responsive Hammer Compact keyboard with 88 grade-weighted keys and Harmonic Imaging Sound Technology, the ES120 delivers a realistic and highly enjoyable musical experience.","1099","USD","Touch & Action","• Improved Responsive Hammer Compact (RHC) weighted-key action with 88 graded keys\n• Lightweight and streamlined cabinet","Sound & Tone","• Harmonic Imaging Sound Technology with 88-key piano sampling\n• Shigeru Kawai SK-EX concert grand piano sound\n• 25 instrument sounds including organs, electric pianos, harpsichord","Connectivity & Features","• Bluetooth MIDI and Bluetooth Audio connectivity\n• USB MIDI port\n• Built-in speakers for portable use\n• Dual headphone jacks\n• Compatible with SC-2 gig bag, F-10H damper pedal","","","88 keys, Responsive Hammer Compact (RHC) action, grade-weighted","Harmonic Imaging","Shigeru Kawai SK-EX concert grand (88-key sampling)","25 voices","192 notes max","Built-in stereo speakers","","Bluetooth MIDI & Audio, USB MIDI, 2x Headphone jacks","Internal song recorder","","F-10H damper pedal (included); triple pedal bar optional","Black, White","","","5 Years Parts and Labor","Black|White"
"ES60","Kawai ES60","es60","active","Portable Digital Piano","Digital Pianos","As the most affordable Kawai ever, the ES60 offers the authentic touch and realistic tone that is the hallmark of all Kawai pianos. The newly developed Responsive Hammer Lite action offers 88 graded keys, and Harmonic Imaging technology replicates the tonal range of the Kawai SK-EX concert grand piano.","599","USD","Touch & Action","• Responsive Hammer Lite keyboard action with grade-weighted hammers\n• Hammer sensing and low-noise mechanism for quiet home practice","Sound & Tone","• Shigeru Kawai SK-EX concert grand piano sound via Harmonic Imaging\n• 17 voices (3 acoustic piano, 14 other including electric piano, organ, strings, harpsichord, bass)\n• Split playing mode for creative sound combinations","Connectivity & Features","• USB-MIDI connectivity\n• Dual headphone jacks for private practice\n• Compatible with PianoRemote and PiaBook Player apps\n• Optional HML-3 designer stand","Design & Build","• Ultra-lightweight at just 11 kg (24 lbs)","88 keys, Responsive Hammer Lite (RHL) action, graded hammers, matte key surfaces","Harmonic Imaging, stereo sampling","Shigeru Kawai SK-EX concert grand","17 voices (3 acoustic piano, 14 other)","192 notes max","Built-in speakers","","USB-MIDI, 2x Headphone jacks, Audio output","","","","Black, White","11 kg (24 lbs)","","5 Years Parts and Labor","Black|White"
"CA901","Kawai CA901","ca901","active","Console Digital Piano","Concert Artist","The CA901 provides an incredible concert piano experience for the most discerning pianist. It combines the highly responsive Grand Feel III action with improved digital piano technology, SK-EX Rendering sound engine, and TwinDrive Soundboard Speaker System to create uncompromising touch and tone.","6549","USD","Touch & Action","• Grand Feel III wooden-key keyboard action with Ivory & Ebony Touch key surfaces\n• Let-off simulation, counterweights, triple sensor detection\n• Grand Feel Pedal System replicating SK-EX concert grand pedals\n• Spatial Headphone Sound (SHS) technology with headphone type selection\n• Discrete headphone amplifier for premium private listening","Sound & Tone","• SK-EX Rendering piano sound engine with multi-channel sampling and resonance modeling\n• NEW: SK-EX Competition Grand piano sound, recorded from the player's perspective\n• TwinDrive Soundboard Speaker System with upgraded transducers and front-facing speakers\n• 360-degree speaker diffuser panels for natural sound projection\n• Piano-optimized sampling filter, premium dual DAC components","Connectivity & Features","• Bluetooth MIDI v5 and Bluetooth Audio v5\n• USB to Device and USB to Host, MIDI, Line Out, 2x Headphone jacks\n• Anti-glare LCD color touchscreen with updated UI\n• Virtual Piano Artisan with comprehensive adjustments\n• Adjustable music rest with score support pins","","","88 keys, Grand Feel III wooden-key action, Ivory & Ebony Touch surfaces, let-off, counterweights, triple sensor","SK-EX Rendering (multi-channel sampling + resonance modeling)","SK-EX Concert Grand, SK-EX Competition Grand (new), SK-5, EX","","256 notes max","TwinDrive Soundboard Speaker System with 360-degree diffuser panels, front-facing speakers","Anti-glare LCD color touchscreen","Bluetooth MIDI v5, Bluetooth Audio v5, USB to Device, USB to Host, MIDI, Line Out, 2x Headphone jacks","Internal recorder + USB audio recording (WAV/MP3)","Virtual Piano Artisan – touch weight, voicing, hammer/key noises, string/damper/cabinet resonance, individual note tuning","Grand Feel Pedal System (damper, soft, sostenuto) replicating SK-EX","Satin Black, Ebony Polish, Premium Rosewood, Premium Satin White, White Maple","","","5 Years Parts and Labor","Satin Black|Ebony Polish|Premium Rosewood|Premium Satin White|White Maple"
"CA701","Kawai CA701","ca701","active","Console Digital Piano","Concert Artist","The CA701 raises the bar for what a premium digital piano can be. Featuring Kawai's ground-breaking Grand Feel III wooden-key keyboard action with Ivory & Ebony Touch key surfaces, the SK-EX Rendering piano sound engine, and a robust six-speaker configuration, the CA701 delivers outstanding digital piano technology.","5049","USD","Touch & Action","• Grand Feel III wooden-key keyboard action with Ivory & Ebony Touch key surfaces\n• Let-off simulation, counterweights, triple sensor detection\n• Grand Feel Pedal System replicating SK-EX pedals\n• Spatial Headphone Sound (SHS) with headphone type selection","Sound & Tone","• SK-EX Rendering piano sound engine with multi-channel sampling and resonance modeling\n• NEW: SK-EX Competition Grand piano sound\n• Six-speaker configuration with innovative amplifier technologies","Connectivity & Features","• Bluetooth MIDI and Audio connectivity\n• USB to Device and USB to Host, MIDI, Line Out, 2x Headphone jacks\n• Anti-glare LCD color touchscreen in left cheek block\n• Virtual Piano Artisan for comprehensive sound shaping\n• Adjustable music rest with score support pins and composer desk angle","","","88 keys, Grand Feel III wooden-key action, Ivory & Ebony Touch surfaces, let-off, counterweights, triple sensor","SK-EX Rendering (multi-channel sampling + resonance modeling)","SK-EX Concert Grand, SK-EX Competition Grand, SK-5, EX","","256 notes max","6-speaker configuration with advanced amplification","Anti-glare LCD color touchscreen","Bluetooth MIDI & Audio, USB to Device, USB to Host, MIDI, Line Out, 2x Headphone jacks","","Virtual Piano Artisan","Grand Feel Pedal System (damper w/ half-pedal, soft, sostenuto)","Satin Black, Premium Rosewood, Premium Satin White","","","5 Years Parts and Labor","Satin Black|Premium Rosewood|Premium Satin White"
"CA501","Kawai CA501","ca501","active","Console Digital Piano","Concert Artist","The CA501 preserves the core Grand Feel Compact wooden-key keyboard action and acoustic piano sounds of Shigeru Kawai and Kawai Concert Grand Pianos. It features a redesigned speaker system with 360-degree top speaker diffuser panels and improved Bluetooth v5 functionality.","5399","USD","Touch & Action","• Grand Feel Compact wooden-key keyboard action with Ivory Touch key surfaces\n• Long wooden keys pivoting on metal balance pin with seesaw motion\n• Grade-weighted hammers, bass region counterweights, let-off simulation, triple sensor","Sound & Tone","• NEW: SK-EX Competition Grand piano sound, recorded from player's perspective\n• Harmonic Imaging XL sound technology with 88-key sampling\n• Shigeru Kawai SK-EX, SK-5, and Kawai EX concert grand sounds\n• Redesigned speaker system with 360-degree top speaker diffuser panels","Connectivity & Features","• Improved Bluetooth MIDI v5 and Bluetooth Audio v5\n• USB, MIDI, 2x Headphone jacks\n• OLED graphic display for easy visibility\n• PianoRemote control app compatible","Design & Build","• Modern cabinet design with taller body and rounded edges\n• Built-in metronome with 100 drum beats, lesson function","88 keys, Grand Feel Compact wooden-key action, Ivory Touch surfaces, let-off, counterweights, triple sensor","Harmonic Imaging XL","SK-EX Concert Grand, SK-EX Competition Grand, SK-5, EX (88-key sampling)","","256 notes max","Stereo with 360-degree top speaker diffuser panels","OLED graphic display","Bluetooth MIDI v5, Bluetooth Audio v5, USB, MIDI, 2x Headphone jacks","Internal recorder","Yes, with Smart Mode presets","3 pedals (damper w/ half-pedal, soft, sostenuto)","","","","5 Years Parts and Labor","Multiple (see product page)"
"CA401","Kawai CA401","ca401","active","Console Digital Piano","Concert Artist","The CA401 delivers players of all levels a premium piano experience. It features the Grand Feel Compact wooden-key keyboard action, a new SK-EX Competition Grand piano sample, Progressive Harmonic Imaging sound technology, and a refined modern cabinet design.","3199","USD","Touch & Action","• Grand Feel Compact wooden-key keyboard action\n• All 88 keys crafted entirely from long pieces of wood (not plastic with veneer)\n• Ivory Touch key surfaces, metal balance pin pivot, extended pivot length","Sound & Tone","• NEW: SK-EX Competition Grand piano sound, recorded from player's perspective\n• Progressive Harmonic Imaging sound technology with 88-key sampling\n• Shigeru Kawai SK-EX and Kawai EX concert grand piano sounds","Connectivity & Features","• Bluetooth MIDI connectivity\n• USB, MIDI, 2x Headphone jacks\n• 2.5-inch OLED display with improved control panel","Design & Build","• Modern cabinet design modeled after larger Concert Artist instruments\n• Refined cabinet with improved pedal position and new music desk score support pins","88 keys, Grand Feel Compact wooden-key action, Ivory Touch surfaces, let-off, counterweights, triple sensor","Progressive Harmonic Imaging","SK-EX Competition Grand, SK-EX, EX (88-key sampling)","","256 notes max","Built-in stereo speakers","2.5-inch OLED display","Bluetooth MIDI, USB, MIDI, 2x Headphone jacks","","Yes","3 pedals (damper w/ half-pedal, soft, sostenuto)","","","","5 Years Parts and Labor","Multiple (see product page)"
"CN301","Kawai CN301","cn301","active","Console Digital Piano","Digital Pianos","The CN301 builds on the popularity of its predecessor, the CN39, with features normally found on top-of-the-line instruments. The Responsive Hammer III action has been upgraded to reduce action noise and improve stability, and the Shigeru concert grand piano sound has been refined for the best concert grand sound in a mid-range digital piano.","3999","USD","Touch & Action","• Upgraded Responsive Hammer III action with reduced noise and improved stability\n• Ivory Touch key surfaces, let-off simulation, triple sensor detection, counterweights\n• Grand Feel Pedal System replicating SK-EX pedal weighting","Sound & Tone","• Refined Shigeru Kawai SK-EX concert grand piano sound\n• Progressive Harmonic Imaging sound technology with 88-key sampling\n• Strong selection of additional instrumental sounds (300+ voices)\n• Sound diffusers mirroring 360-degree acoustic piano sound projection\n• Premium speaker and audio system with improved tonal clarity","Connectivity & Features","• Bluetooth MIDI and Bluetooth Audio connectivity\n• USB to Device, USB to Host, MIDI, 2x Headphone jacks\n• OLED graphic display in left side panel\n• 10-song, 2-track internal recorder; USB audio recording (MP3/WAV)\n• PianoRemote control app and lesson function support","Design & Build","• Adjustable music rest angle, composer desk mode\n• Virtual Technician with Smart Mode presets","88 keys, Responsive Hammer III (RHIII) action, Ivory Touch key surfaces, let-off, counterweights, triple sensor","Progressive Harmonic Imaging (88-key sampling)","Shigeru Kawai SK-EX, SK-5, Kawai EX concert grand pianos","300+ voices","256 notes max","Multi-way with top-mounted speakers and underside bass projection, sound diffusers","OLED graphic display","Bluetooth MIDI & Audio, USB to Device, USB to Host, MIDI, 2x Headphone jacks","10-song, 2-track internal recorder; USB audio (MP3/WAV)","Yes, with Smart Mode presets","Grand Feel Pedal System (damper w/ half-pedal, soft, sostenuto)","","","","5 Years Parts and Labor",""
"CN201","Kawai CN201","cn201","active","Console Digital Piano","Digital Pianos","The CN201 embodies all the qualities of Kawai's award-winning CN Series, reimagined with authentic piano samples, high-end features, and a responsive keyboard touch. The acclaimed Responsive Hammer III action has been upgraded to improve stability and reduce action noise.","2999","USD","Touch & Action","• Upgraded Responsive Hammer III action with improved stability and reduced noise\n• Grand Feel Pedal System replicating Kawai EX concert grand pedal weighting","Sound & Tone","• Enhanced Shigeru Kawai SK-EX concert grand piano sound\n• Progressive Harmonic Imaging sound technology\n• Powerful sound system with improved tonal clarity\n• Exclusive Low Volume Balance feature for optimal expression at reduced volumes","Connectivity & Features","• Bluetooth MIDI and Bluetooth Audio connectivity\n• USB, MIDI, 2x Headphone jacks\n• Spatial Headphone Sound technology\n• PianoRemote and PiaBookPlayer app support","Design & Build","• Adjustable music rest angle\n• Built-in Chopin Waltzes, Alfred Publishing lesson courses","88 keys, Responsive Hammer III (RHIII) action, Ivory Touch key surfaces, let-off, triple sensor","Progressive Harmonic Imaging","Shigeru Kawai SK-EX concert grand (enhanced)","","256 notes max","Built-in stereo with improved tonal clarity","","Bluetooth MIDI & Audio, USB, MIDI, 2x Headphone jacks","","","Grand Feel Pedal System (damper w/ half-pedal, soft, sostenuto)","","","","5 Years Parts and Labor",""
"CX202","Kawai CX202","cx202","active","Console Digital Piano","Digital Pianos","The CX202 is the intermediate model in Kawai's new CX line, offering enhanced touch, tone, and features that support confident musical growth at home. Equipped with the Responsive Hammer Compact II keyboard action with grade-weighted keys and a precise 3-sensor system, it delivers improved accuracy, control, and a realistic grand piano feel.","2299","USD","Touch & Action","• Responsive Hammer Compact II (RHCII) keyboard action with grade-weighted keys\n• Precise 3-sensor system for improved accuracy and control\n• Spring-less mechanism with improved cushioning for reduced keyboard noise","Sound & Tone","• Shigeru Kawai SK-EX concert grand piano sound via Harmonic Imaging technology\n• 17 total sounds (electric pianos, organs, strings, harpsichord, bass)\n• 40W stereo speaker system","Connectivity & Features","• Bluetooth MIDI and Bluetooth Audio connectivity\n• USB-MIDI and dual headphone jacks\n• Built-in metronome, recorder, and lesson function","Design & Build","• Refined cabinet with curved side arms and sturdy toe blocks\n• Retractable key cover, fold-flat music rest\n• Compact depth: just 40.5 cm (16 inches)","88 keys, Responsive Hammer Compact II (RHCII), grade-weighted, 3-sensor system, cushioning, hammer-sensing","Harmonic Imaging (88-key stereo sampling)","Shigeru Kawai SK-EX concert grand","17 voices","192 notes max","40W stereo (20W x 2)","","Bluetooth MIDI & Audio, USB-MIDI, 2x Headphone jacks","Built-in recorder","","3 pedals (damper, soft, sostenuto)","Premium Rosewood, Satin Black, Satin White","37 kg (81.5 lbs)","136.5 cm (53 3/4"") W x 40.5 cm (16"") D x 85.5 cm (33 2/3"") H","5 Years Parts and Labor","Premium Rosewood|Satin Black|Satin White"
